SHEET_TYPE_TEXT,Max Num Of Chars,Dead Text,Hash Codes,,Languages,,,,,,,,,,,,,Output For All Levels,HT_File_Map_ab_cana,HT_File_Map_ab_cncl,HT_File_Map_ab_cin1,HT_File_Map_ab_cin2,HT_File_Map_ab_musm,HT_File_Map_ab_nrth,HT_File_Map_ab_sewr,HT_File_Map_ab_shop,HT_File_Map_ab_sth,HT_File_Map_ak_du6,HT_File_Map_hl_cp,HT_File_Map_hl_da2,HT_File_Map_hl_da3,HT_File_Map_hl_dng,HT_File_Map_hl_ext,HT_File_Map_hl_ws1,HT_File_Map_hl_ws2,HT_File_Map_hl_ws3,HT_File_Map_hl_rm1,HT_File_Map_lu_pala,HT_File_Map_lu_pyra,HT_File_Map_MG_Simon,HT_File_Map_mg_pairs,HT_File_Map_mg_shoot,HT_File_Map_mg_walls,HT_File_Map_mu_cast,HT_File_mum_eye,HT_File_mum_eyei,HT_File_mum_gebq,HT_File_Map_mu_htrn,HT_File_Map_mu_imp2,HT_File_mum_inch,HT_File_mum_jail,HT_File_mum_ldge,HT_File_mum_pala,HT_File_Map_mu_roto,HT_File_mum_sewr,HT_File_mum_towr,HT_File_mum_trch,HT_File_mum_trei,HT_File_mum_udng,HT_File_mum_well,HT_File_urk_4pat,HT_File_Map_ur_cast,HT_File_Map_ur_intr,HT_File_FrontEnd,HT_File_DemoMap,HT_File_Monster_Test,HT_File_Mummy_Test,HT_File_Map_cas_lowr,HT_File_BOSTest,,Game Data,,,Sound Information,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_Prompt01,,"I foresee that you will cross my palm with <FC 0,128,0>30 Scarabs<END FC><N>  <B 1> Very well<N>  <B 2> No way<E>","I foresee that you will cross my palm with <FC 0,128,0>30 Scarabs<END FC><N>  <B 1> Very well<N>  <B 2> No way<E>","Ich sehe, dass du meine Hand mit <FC 0,128,0>30 Skarabäen<END FC> inspirieren wirst.<N>  <B 1> Na gut<N>  <B 2> Nein<E>","Je pressens que tu vas me donner <FC 0,128,0>30 Scarabées<END FC><N>  <B 1> D'accord<N>  <B 2> Pas question<E>","Veo en el futuro que pondrás en mi mano <FC 0,128,0>30 skarabs<END FC><N>  <B 1> Muy bien<N>  <B 2> Ni hablar<E>","Vedo che poserai sulla mia mano <FC 0,128,0>30 Scarabei<END FC><N>  <B 1> Molto bene<N>  <B 2> Niente affatto<E>","네가 내 손바닥에 <FC 0,128,0>30 스캐럽<END FC>을 뿌려놓을 것이라고 나는 예언한다<N>  <B 1> 좋아<N>  <B 2> 그럴 수는 없다<E>","**I foresee that you will cross my palm with <FC 0,128,0>30 Scarabs<END FC><N>  <B 1> Very well<N>  <B 2> No way<E>*","I foresee that you will cross my palm with <FC 0,128,0>30 Scarabs<END FC><N>  <B 1> Very well<N>  <B 2> No way<E>","I foresee that you will cross my palm with <FC 0,128,0>30 Scarabs<END FC><N>  <B 1> Very well<N>  <B 2> No way<E>","Eu prevejo que você irá cruzar minha palma com <FC 0,128,0>30 Káraves<END FC><N>  <B 1> Muito bem<N>  <B 2> Nem pensar<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_Accept01,,"Excellent, now I shall predict the location of a long lost <FC 0,128,0>Gold Ankh Piece<END FC>...<E>","Excellent, now I shall predict the location of a long lost <FC 0,128,0>Gold Ankh Piece<END FC>...<E>","Sehr schön! Und jetzt werde ich einen Ort nennen, an dem ein lange verlorenes <FC 0,128,0>Goldankh-Teil<END FC> liegt...<E>","Parfait, je vais te dire où se trouve le <FC 0,128,0>Bout d'Ankh d'or<END FC>perdu...<E>","Perfecto. Ahora adivinaré el paradero del <FC 0,128,0>trozo de Ankh de oro<END FC> perdido.<E>","Ottimo, ora vedrò dove si trova un <FC 0,128,0>Pezzo d'Ankh d'oro<END FC> perduto da tempo...<E>","좋아, 이제 아주 오랜 기간 분실되었던 <FC 0,128,0>황금 앙크 조각<END FC>의 위치를 맞춰볼 것이다...<E>","**Excellent, now I shall predict the location of a long lost <FC 0,128,0>Gold Ankh Piece<END FC>...<E>*","Excellent, now I shall predict the location of a long lost <FC 0,128,0>Gold Ankh Piece<END FC>...<E>","Excellent, now I shall predict the location of a long lost <FC 0,128,0>Gold Ankh Piece<END FC>...<E>","Excelente, agora irei prever a localização de uma <FC 0,128,0>Peça de Ankh de Ouro<END FC> há tempos perdida...<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_Decline01,,Strange... my powers of prediction seem somewhat inaccurate today.<E>,Strange... my powers of prediction seem somewhat inaccurate today.<E>,Seltsam... meine hellseherischen Kräfte scheinen heute etwas ungenau zu sein.<E>,C'est troublant... ma perception extrasensorielle semble faussée.<E>,"Qué raro, hoy parece que mis adivinaciones no son muy precisas.<E>","Strano, oggi i miei poteri di preveggenza sembrano un po' imprecisi.<E>",이상하군... 나의 예지력이 오늘은 조금 부정확한 것 같군.<E>,**Strange... my powers of prediction seem somewhat inaccurate today.<E>*,Strange... my powers of prediction seem somewhat inaccurate today.<E>,Strange... my powers of prediction seem somewhat inaccurate today.<E>,Estranho... meus poderes de previsão parecem um pouco imprecisos hoje.<E>,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_NotEnoughScarabs,,"Sorry, but you don't have enough <FC 0,128,0>Scarabs<END FC>.<E>","Sorry, but you don't have enough <FC 0,128,0>Scarabs<END FC>.<E>","Tut mir Leid, aber du hast nicht genug <FC 0,128,0>Skarabäen<END FC>.<E>","Désolé, tu n'as pas assez de <FC 0,128,0>Scarabées<END FC>.<E>","Lo siento, no tienes bastantes <FC 0,128,0>skarabs<END FC>.<E>","Purtroppo non hai abbastanza <FC 0,128,0>Scarabei<END FC>.<E>","미안하지만, 너는 <FC 0,128,0>스캐럽<END FC>이 충분하지 않다.<E>","**Sorry, but you don't have enough <FC 0,128,0>Scarabs<END FC>.<E>*","Sorry, but you don't have enough <FC 0,128,0>Scarabs<END FC>.<E>","Sorry, but you don't have enough <FC 0,128,0>Scarabs<END FC>.<E>","Desculpe, mas você não têm <FC 0,128,0>Káraves<END FC> o suficiente.<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue01,,Ankh Piece clue 1,Ankh Piece clue 1,Ankh-Teil Hinweis 1,Indice Bout d'Ankh 1,Pista de Ankh 1,Indizio pezzo d'Ankh 1,앙크 조각 단서 1,Ankh Piece clue 1,Ankh Piece clue 1,Ankh Piece clue 1,Ankh Piece clue 1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue02,,Ankh Piece clue 2,Ankh Piece clue 2,Ankh-Teil Hinweis 2,Indice Bout d'Ankh 2,Pista de Ankh 2,Indizio pezzo d'Ankh 2,앙크 조각 단서 2,Ankh Piece clue 2,Ankh Piece clue 2,Ankh Piece clue 2,Ankh Piece clue 2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue03,,Ankh Piece clue 3,Ankh Piece clue 3,Ankh-Teil Hinweis 3,Indice Bout d'Ankh 3,Pista de Ankh 3,Indizio pezzo d'Ankh 3,앙크 조각 단서 3,Ankh Piece clue 3,Ankh Piece clue 3,Ankh Piece clue 3,Ankh Piece clue 3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue04,,Ankh Piece clue 4,Ankh Piece clue 4,Ankh-Teil Hinweis 4,Indice Bout d'Ankh 4,Pista de Ankh 4,Indizio pezzo d'Ankh 4,앙크 조각 단서 4,Ankh Piece clue 4,Ankh Piece clue 4,Ankh Piece clue 4,Ankh Piece clue 4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue05,,Ankh Piece clue 5,Ankh Piece clue 5,Ankh-Teil Hinweis 5,Indice Bout d'Ankh 5,Pista de Ankh 5,Indizio pezzo d'Ankh 5,앙크 조각 단서 5,Ankh Piece clue 5,Ankh Piece clue 5,Ankh Piece clue 5,Ankh Piece clue 5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue06,,Ankh Piece clue 6,Ankh Piece clue 6,Ankh-Teil Hinweis 6,Indice Bout d'Ankh 6,Pista de Ankh 6,Indizio pezzo d'Ankh 6,앙크 조각 단서 6,Ankh Piece clue 6,Ankh Piece clue 6,Ankh Piece clue 6,Ankh Piece clue 6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue07,,Ankh Piece clue 7,Ankh Piece clue 7,Ankh-Teil Hinweis 7,Indice Bout d'Ankh 7,Pista de Ankh 7,Indizio pezzo d'Ankh 7,앙크 조각 단서 7,Ankh Piece clue 7,Ankh Piece clue 7,Ankh Piece clue 7,Ankh Piece clue 7,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue08,,Ankh Piece clue 8,Ankh Piece clue 8,Ankh-Teil Hinweis 8,Indice Bout d'Ankh 8,Pista de Ankh 8,Indizio pezzo d'Ankh 8,앙크 조각 단서 8,Ankh Piece clue 8,Ankh Piece clue 8,Ankh Piece clue 8,Ankh Piece clue 8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue09,,Ankh Piece clue 9,Ankh Piece clue 9,Ankh-Teil Hinweis 9,Indice Bout d'Ankh 9,Pista de Ankh 9,Indizio pezzo d'Ankh 9,앙크 조각 단서 9,Ankh Piece clue 9,Ankh Piece clue 9,Ankh Piece clue 9,Ankh Piece clue 9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue10,,Ankh Piece clue 10,Ankh Piece clue 10,Ankh-Teil Hinweis 10,Indice Bout d'Ankh 10,Pista de Ankh 10,Indizio pezzo d'Ankh 10,앙크 조각 단서 10,Ankh Piece clue 10,Ankh Piece clue 10,Ankh Piece clue 10,Ankh Piece clue 10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue11,,Ankh Piece clue 11,Ankh Piece clue 11,Ankh-Teil Hinweis 11,Indice Bout d'Ankh 11,Pista de Ankh 11,Indizio pezzo d'Ankh 11,앙크 조각 단서 11,Ankh Piece clue 11,Ankh Piece clue 11,Ankh Piece clue 11,Ankh Piece clue 11,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue12,,Ankh Piece clue 12,Ankh Piece clue 12,Ankh-Teil Hinweis 12,Indice Bout d'Ankh 12,Pista de Ankh 12,Indizio pezzo d'Ankh 12,앙크 조각 단서 12,Ankh Piece clue 12,Ankh Piece clue 12,Ankh Piece clue 12,Ankh Piece clue 12,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue13,,Ankh Piece clue 13,Ankh Piece clue 13,Ankh-Teil Hinweis 13,Indice Bout d'Ankh 13,Pista de Ankh 13,Indizio pezzo d'Ankh 13,앙크 조각 단서 13,Ankh Piece clue 13,Ankh Piece clue 13,Ankh Piece clue 13,Ankh Piece clue 13,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue14,,Ankh Piece clue 14,Ankh Piece clue 14,Ankh-Teil Hinweis 14,Indice Bout d'Ankh 14,Pista de Ankh 14,Indizio pezzo d'Ankh 14,앙크 조각 단서 14,Ankh Piece clue 14,Ankh Piece clue 14,Ankh Piece clue 14,Ankh Piece clue 14,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue15,,Ankh Piece clue 15,Ankh Piece clue 15,Ankh-Teil Hinweis 15,Indice Bout d'Ankh 15,Pista de Ankh 15,Indizio pezzo d'Ankh 15,앙크 조각 단서 15,Ankh Piece clue 15,Ankh Piece clue 15,Ankh Piece clue 15,Ankh Piece clue 15,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue16,,Ankh Piece clue 16,Ankh Piece clue 16,Ankh-Teil Hinweis 16,Indice Bout d'Ankh 16,Pista de Ankh 16,Indizio pezzo d'Ankh 16,앙크 조각 단서 16,Ankh Piece clue 16,Ankh Piece clue 16,Ankh Piece clue 16,Ankh Piece clue 16,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue17,,Ankh Piece clue 17,Ankh Piece clue 17,Ankh-Teil Hinweis 17,Indice Bout d'Ankh 17,Pista de Ankh 17,Indizio pezzo d'Ankh 17,앙크 조각 단서 17,Ankh Piece clue 17,Ankh Piece clue 17,Ankh Piece clue 17,Ankh Piece clue 17,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue18,,Ankh Piece clue 18,Ankh Piece clue 18,Ankh-Teil Hinweis 18,Indice Bout d'Ankh 18,Pista de Ankh 18,Indizio pezzo d'Ankh 18,앙크 조각 단서 18,Ankh Piece clue 18,Ankh Piece clue 18,Ankh Piece clue 18,Ankh Piece clue 18,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue19,,Ankh Piece clue 19,Ankh Piece clue 19,Ankh-Teil Hinweis 19,Indice Bout d'Ankh 19,Pista de Ankh 19,Indizio pezzo d'Ankh 19,앙크 조각 단서 19,Ankh Piece clue 19,Ankh Piece clue 19,Ankh Piece clue 19,Ankh Piece clue 19,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPieceClue20,,Ankh Piece clue 20,Ankh Piece clue 20,Ankh-Teil Hinweis 20,Indice Bout d'Ankh 20,Pista de Ankh 20,Indizio pezzo d'Ankh 20,앙크 조각 단서 20,Ankh Piece clue 20,Ankh Piece clue 20,Ankh Piece clue 20,Ankh Piece clue 20,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPiecesNoneValid,,"The outlook is unclear... I'm afraid I cannot foresee the locations of any more <FC 0,128,0>Gold Ankh Pieces<END FC> at the moment. Try again later and I may be able to help.<E>","The outlook is unclear... I'm afraid I cannot foresee the locations of any more <FC 0,128,0>Gold Ankh Pieces<END FC> at the moment. Try again later and I may be able to help.<E>","Mein Blick ist etwas verschwommen... ich fürchte, ich kann im Moment keine weiteren Stellen sehen, an denen sich <FC 0,128,0>Goldankh-Teile<END FC> finden. Vielleicht kann ich dir später noch einmal helfen.<E>","Ma vision n'est pas claire... Je crains de ne pouvoir localiser d'autres <FC 0,128,0>Bouts d'Ankh d'or<END FC> pour l'instant. Reviens plus tard!<E>","La probabilidad es incierta. Me temo que no puedo descubrir más <FC 0,128,0>trozos de Ankh de oro<END FC> por el momento. Inténtalo más tarde a ver si puedo ayudarte.<E>","Il risultato non è chiaro... Temo di non poter prevedere l'ubicazione di altri <FC 0,128,0>Pezzi d'Ankh d'oro <END FC> al momento. Riprova più tardi e forse potrò aiutarti.<E>","전망이 맑지는 않군... 안타깝지만 지금은 내가 더 이상 <FC 0,128,0>황금 앙크 조각들<END FC>의 위치를 내다볼 수 없는 것 같다. 나중에 다시 들르면 도와 줄 수 있을 지도 모른다.<E>","**The outlook is unclear... I'm afraid I cannot foresee the locations of any more <FC 0,128,0>Gold Ankh Pieces<END FC> at the moment. Try again later and I may be able to help.<E>*","The outlook is unclear... I'm afraid I cannot foresee the locations of any more <FC 0,128,0>Gold Ankh Pieces<END FC> at the moment. Try again later and I may be able to help.<E>","The outlook is unclear... I'm afraid I cannot foresee the locations of any more <FC 0,128,0>Gold Ankh Pieces<END FC> at the moment. Try again later and I may be able to help.<E>","The outlook is unclear... I'm afraid I cannot foresee the locations of any more <FC 0,128,0>Gold Ankh Pieces<END FC> at the moment. Try again later and I may be able to help.<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_FortuneTeller_AnkhPiecesComplete,,"Unless my powers deceive me, I do believe that you have found all the ancient <FC 0,128,0>Gold Ankh Pieces<END FC>! Truly amazing!<E>","Unless my powers deceive me, I do believe that you have found all the ancient <FC 0,128,0>Gold Ankh Pieces<END FC>! Truly amazing!<E>","Wenn meine Kräfte mich nicht täuschen, hast du alle antiken <FC 0,128,0>Goldankh-Teile<END FC> gefunden! Wahrlich erstaunlich!<E>","Sauf défaillance de mes pouvoirs, je constate que tu as tous les <FC 0,128,0>Bouts d'Ankh d'or<END FC>! Bravo!<E>","¡A menos que mis poderes me engañen, creo que he encontrado todos los antiguos <FC 0,128,0>trozos de Ankh de oro<END FC>! ¡Increíble!<E>","Se i miei poteri non mi ingannano, hai trovato tutti gli antichi <FC 0,128,0>Pezzi d'Ankh d'oro<END FC>! Davvero incredibile!<E>","나의 능력이 나를 속이고 있지 않다면, 네가 고대의 <FC 0,128,0>황금 앙크 조각들<END FC>을 전부 찾았다고 믿는다! 정말 대단하군!<E>","**Unless my powers deceive me, I do believe that you have found all the ancient <FC 0,128,0>Gold Ankh Pieces<END FC>! Truly amazing!<E>*","Unless my powers deceive me, I do believe that you have found all the ancient <FC 0,128,0>Gold Ankh Pieces<END FC>! Truly amazing!<E>","Unless my powers deceive me, I do believe that you have found all the ancient <FC 0,128,0>Gold Ankh Pieces<END FC>! Truly amazing!<E>","Unless my powers deceive me, I do believe that you have found all the ancient <FC 0,128,0>Gold Ankh Pieces<END FC>! Truly amazing!<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_Scribe_WakeUp1a,,What the...? What is this strange place?<W 30>,What the...? What is this strange place?<W 30>,"Nanu, was ist das für ein seltsamer Ort?<W 30>",Qu'est-ce que...? Où suis-je?<W 30>,¿Qué? ¿Qué extraño lugar es este?<W 30>,Ma che...? Che strano posto è questo?<W 30>,머야...? 이 이상한 장소는 어디지?<W 30>,**What the...? What is this strange place?<W 30>*,What the...? What is this strange place?<W 30>,What the...? What is this strange place?<W 30>,Mas o que...? O que é esse lugar estranho?<W 30>,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_Scribe_WakeUp1b,,"Wah! You surprised me there, stranger!<W 30>","Wah! You surprised me there, stranger!<W 30>","Huch, du hast mich ganz schön erschreckt, Fremder!<W 30>","Tu m'as fais peur, étranger!<W 30>","¡Ah! ¡Me has sorprendido, extranjero!<W 30>","Ehi! Che sorpresa, straniero!<W 30>","앗! 날 놀라게 하는군, 이방인!<W 30>","**Wah! You surprised me there, stranger!<W 30>*","Wah! You surprised me there, stranger!<W 30>","Wah! You surprised me there, stranger!<W 30>","Uah! Você me deu um susto, estranho!<W 30>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_Scribe_WakeUp1c,,"I was summoned from <FC 128,64,0>Abydos<END FC> to write the Pharaoh's autobiography, when I started to feel ever so sleepy. Next thing I know, here I am with you.<E>","I was summoned from <FC 128,64,0>Abydos<END FC> to write the Pharaoh's autobiography, when I started to feel ever so sleepy. Next thing I know, here I am with you.<E>","Ich wurde aus <FC 128,64,0>Abydos<END FC> herbeigerufen, um die Autobiografie des Pharaos zu schreiben. Dann wurde ich irgendwie schläfrig, und jetzt bin ich hier bei dir.<E>","On m'a rappelé d'<FC 128,64,0>Abydos<END FC> pour écrire la biographie du Pharaon. Je me souviens d'une grande fatigue. Et me voilà ici avec toi.<E>","Me llamaron de <FC 128,64,0>Abydos<END FC> para escribir la autobiografía del Faraón, pero me empezó a entrar mucho sueño. Lo siguiente que sé es que estoy contigo.<E>","Fui convocato da <FC 128,64,0>Abydos<END FC> per scrivere l'autobiografia del Faraone, ma mi colse un sonno improvviso. Ora mi ritrovo qui con te; non ricordo altro.<E>","<FC 128,64,0>아비도스<END FC>에서 파라오의 자서전을 집필하기 위해서 소환되었는데 졸음이 쏟아졌어. 그리고 정신차리니 여기에 너와 함께 있네.<E>","**I was summoned from <FC 128,64,0>Abydos<END FC> to write the Pharaoh's autobiography, when I started to feel ever so sleepy. Next thing I know, here I am with you.<E>*","I was summoned from <FC 128,64,0>Abydos<END FC> to write the Pharaoh's autobiography, when I started to feel ever so sleepy. Next thing I know, here I am with you.<E>","I was summoned from <FC 128,64,0>Abydos<END FC> to write the Pharaoh's autobiography, when I started to feel ever so sleepy. Next thing I know, here I am with you.<E>","I was summoned from <FC 128,64,0>Abydos<END FC> to write the Pharaoh's autobiography, when I started to feel ever so sleepy. Next thing I know, here I am with you.<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_Scribe_WakeUp1d,,"These strange events have given me a great idea for a gripping new book! I'm going back to <FC 128,64,0>Abydos<END FC> immediately to start work on it.<E>","These strange events have given me a great idea for a gripping new book! I'm going back to <FC 128,64,0>Abydos<END FC> immediately to start work on it.<E>","Diese seltsamen Ereignisse sind eine gute Idee für ein packendes neues Buch! Ich werde unverzüglich zurück nach <FC 128,64,0>Abydos<END FC> gehen, um mit der Arbeit daran zu beginnen.<E>","Ces aventures m'ont inspiré un nouveau livre! Je retourne à <FC 128,64,0>Abydos<END FC> sur-le-champ pour m'atteler à la tâche.<E>","¡Estas cosas tan extrañas me han dado una idea para un nuevo libro! Voy a volver a <FC 128,64,0>Abydos<END FC> inmediatamente para empezarlo.<E>","Questi strani eventi mi hanno dato una grande idea per un libro mozzafiato! Ora torno ad <FC 128,64,0>Abydos<END FC> e mi metto subito all'opera.<E>","이 이상한 사건들은 독자들을 사로잡을 새 책의 위대한 아이디어를 주었어! 나는 즉시 <FC 128,64,0>아비도스<END FC>로 돌아가서 집필을 시작할 거야.<E>","**These strange events have given me a great idea for a gripping new book! I'm going back to <FC 128,64,0>Abydos<END FC> immediately to start work on it.<E>*","These strange events have given me a great idea for a gripping new book! I'm going back to <FC 128,64,0>Abydos<END FC> immediately to start work on it.<E>","These strange events have given me a great idea for a gripping new book! I'm going back to <FC 128,64,0>Abydos<END FC> immediately to start work on it.<E>","These strange events have given me a great idea for a gripping new book! I'm going back to <FC 128,64,0>Abydos<END FC> immediately to start work on it.<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_Hel_CursedPalace_Scribe_WakeUp1e,,"Thank you for your help stranger, take this book of mine as a gift. When you're in <FC 128,64,0>Abydos<END FC>, don't hesitate to drop by for a chat. Toodle-pip!<E>","Thank you for your help stranger, take this book of mine as a gift. When you're in <FC 128,64,0>Abydos<END FC>, don't hesitate to drop by for a chat. Toodle-pip!<E>","Vielen Dank für deine Hilfe, Fremder. Nimm dieses Buch als Dankeschön. Wenn du mal in <FC 128,64,0>Abydos<END FC> bist, dann komm ruhig auf einen Schwatz vorbei!<E>","Merci de ton aide, étranger! Garde ce livre en cadeau. Si tu passes à <FC 128,64,0>Abydos<END FC>, viens me voir, nous bavarderons un peu. Au revoir!<E>","Gracias por tu ayuda, extranjero, y toma este libro mío como regalo. Cuando vayas a <FC 128,64,0>Abydos<END FC>, no dudes en pasar a verme y charlaremos. ¡Ciao!<E>","Grazie per il tuo aiuto, straniero, ti regalo questo mio libro. Se capiti ad <FC 128,64,0>Abydos<END FC>, vienimi a trovare e faremo due chiacchiere. A presto!<E>","도와줘서 고맙다, 이방인, 나의 책을 선물로 가져가라. <FC 128,64,0>아비도스<END FC>오면, 꼭 한번 들러서 이야기를 나누자. 살펴가시게나!<E>","**Thank you for your help stranger, take this book of mine as a gift. When you're in <FC 128,64,0>Abydos<END FC>, don't hesitate to drop by for a chat. Toodle-pip!<E>*","Thank you for your help stranger, take this book of mine as a gift. When you're in <FC 128,64,0>Abydos<END FC>, don't hesitate to drop by for a chat. Toodle-pip!<E>","Thank you for your help stranger, take this book of mine as a gift. When you're in <FC 128,64,0>Abydos<END FC>, don't hesitate to drop by for a chat. Toodle-pip!<E>","Thank you for your help stranger, take this book of mine as a gift. When you're in <FC 128,64,0>Abydos<END FC>, don't hesitate to drop by for a chat. Toodle-pip!<E>",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
